ix_id,ixlan_id,asn,ip
1,1,6614,206.126.237.91
1,1,6614,206.126.237.92
1,1,6762,2001:504:0:2::6762:1
1,1,6762,206.126.236.6
1,1,6774,2001:504:0:2::6774:1
1,1,6774,206.126.236.228
1,1,6830,2001:504:0:2::6830:1
1,1,6830,206.126.236.117
1,1,6922,2001:504:0:2::6922:1
1,1,6922,206.126.238.200
1,1,6939,2001:504:0:2::6939:1
1,1,6939,206.126.236.37
1,1,7029,2001:504:0:2::7029:1
1,1,7029,206.126.237.16
1,1,7195,2001:504:0:2::7195:1
1,1,7195,206.126.238.207
1,1,7342,2001:504:0:2::7342:1
1,1,7342,206.126.236.170
1,1,7713,2001:504:0:2::7713:1
1,1,7713,206.126.237.47
1,1,7772,206.126.236.253
1,1,7772,206.126.237.72
1,1,7784,2001:504:0:2::7784:1
1,1,7784,206.126.236.14
1,1,7795,2001:504:0:2::7795:1
1,1,7795,206.126.236.156
1,1,7843,2001:504:0:2::7843:1
1,1,7843,206.126.238.34
1,1,7850,2001:504:0:2::7850:1
1,1,7850,206.126.238.16
1,1,7862,2001:504:0:2::7862:1
1,1,7862,206.126.237.44
1,1,7908,2001:504:0:2::7908:1
1,1,7908,206.126.236.215
1,1,8075,2001:504:0:2::8075:1
1,1,8075,2001:504:0:2::8075:2
1,1,8075,206.126.236.148
1,1,8075,206.126.236.17
1,1,8220,2001:504:0:2::8220:1
1,1,8220,206.126.238.64
1,1,8309,2001:504:0:2::8309:1
1,1,8309,206.126.237.197
1,1,8359,2001:504:0:2::8359:1
1,1,8359,206.126.236.180
1,1,8360,206.126.237.8
1,1,8674,2001:504:0:2::8674:1
1,1,8674,206.126.236.245
1,1,8781,2001:504:0:2::8781:1
1,1,8781,206.126.236.181
1,1,8966,2001:504:0:2::8966:1
1,1,8966,206.126.237.12
1,1,9304,2001:504:0:2::9304:1
1,1,9304,206.126.237.37
1,1,10297,2001:504:0:2:0:1:297:1
1,1,10297,206.126.236.81
1,1,10310,2001:504:0:2:0:1:310:1
1,1,10310,2001:504:0:2:0:1:310:2
1,1,10310,2001:504:0:2:0:1:310:3
1,1,10310,2001:504:0:2:0:1:310:4
1,1,10310,206.126.236.16
1,1,10310,206.126.236.2
1,1,10310,206.126.238.39
1,1,10310,206.126.238.40
1,1,10423,2001:504:0:2:0:1:423:1
1,1,10423,206.126.238.57
1,1,10745,2001:504:0:2:0:1:745:1
