ix_id,ixlan_id,proto,prefix
252,252,IPv6,2001:13c7:6000:ddd::/64
252,252,IPv6,2001:13c7:6000:ee8::/64
253,253,IPv4,200.1.6.0/24
253,253,IPv6,2001:13c7:6006::/48
254,254,IPv4,206.51.46.0/24
254,254,IPv6,2605:6c00:303:303::/64
255,255,IPv4,195.42.144.0/23
255,255,IPv6,2001:7f8:43::/64
256,256,IPv4,198.32.186.0/24
256,256,IPv6,2001:478:186::/64
257,257,IPv4,194.68.131.64/26
257,257,IPv6,2001:7f8:d:400::/64
258,258,IPv4,212.32.128.0/24
260,260,IPv4,200.0.22.0/23
260,260,IPv6,2001:13c7:6002::/48
262,262,IPv4,196.223.37.0/24
264,264,IPv4,195.182.218.0/23
264,264,IPv6,2001:7f8:42::/64
267,267,IPv4,206.197.210.0/25
267,267,IPv6,2606:7c80:3375:50::/64
270,270,IPv4,86.104.125.0/24
270,270,IPv6,2001:7f8:64:225::/64
273,273,IPv4,193.42.140.0/23
273,273,IPv6,2001:7f8:57:1000::/64
274,274,IPv4,81.21.96.0/24
274,274,IPv6,2001:4300:96::/64
275,275,IPv4,195.137.180.0/24
275,275,IPv6,2001:7f8:8b::/64
287,287,IPv4,91.194.162.0/24
288,288,IPv4,218.100.59.0/24
288,288,IPv6,2001:de8:9::/64
291,291,IPv4,193.42.155.0/24
291,291,IPv6,2001:7f8:8:10::/64
297,297,IPv4,188.93.170.0/23
297,297,IPv6,2001:7f8:4c::/64
298,298,IPv4,185.1.65.0/26
298,298,IPv6,2001:7f8:12:2::/64
299,299,IPv4,194.30.187.0/24
299,299,IPv6,2001:7f8:91::/64
301,301,IPv4,185.1.103.0/24
301,301,IPv6,2001:7f8:49::/64
303,303,IPv4,185.1.87.0/24
303,303,IPv6,2001:7f8:28::/64
311,311,IPv4,185.1.115.0/24
311,311,IPv6,2001:7f8:5f:ffff::/64
313,313,IPv4,91.194.218.0/24
313,313,IPv6,2001:7f8:61::/48
314,314,IPv4,200.219.144.0/24
314,314,IPv6,2001:12f8:0:7::/64
316,316,IPv4,195.60.82.64/26
316,316,IPv6,2001:7f8:4d:1::/64
317,317,IPv4,45.114.21.0/24
319,319,IPv4,91.220.194.0/24
319,319,IPv6,2001:7f8:46::/64
321,321,IPv4,195.66.236.0/22
321,321,IPv6,2001:7f8:4:1::/64
